running_best_fitness,generation,seed,instance,best_fitness_at_generation,algorithm,instance_path
1184.0,97,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,98,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,99,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,100,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,101,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,102,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,103,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,104,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,105,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,106,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,107,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,108,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,109,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,110,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,111,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,112,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,113,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,114,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,115,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,116,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,117,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,118,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,119,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,120,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,121,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,122,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1181.0,123,1,A-n32-k5.vrp,1181.0,GA,data/vrp/A-n32-k5.vrp
1134.0,124,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,125,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,126,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,127,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,128,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,129,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,130,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1134.0,131,1,A-n32-k5.vrp,1134.0,GA,data/vrp/A-n32-k5.vrp
1129.0,132,1,A-n32-k5.vrp,1129.0,GA,data/vrp/A-n32-k5.vrp
1111.0,133,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,134,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,135,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,136,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,137,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,138,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,139,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1111.0,140,1,A-n32-k5.vrp,1111.0,GA,data/vrp/A-n32-k5.vrp
1096.0,141,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,142,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,143,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,144,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,145,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,146,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,147,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,148,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,149,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,150,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,151,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,152,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,153,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,154,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,155,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,156,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,157,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,158,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,159,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,160,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,161,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,162,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,163,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,164,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,165,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,166,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,167,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,168,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,169,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,170,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,171,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,172,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,173,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,174,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,175,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,176,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,177,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,178,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,179,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,180,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,181,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,182,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,183,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,184,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,185,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,186,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,187,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1096.0,188,1,A-n32-k5.vrp,1096.0,GA,data/vrp/A-n32-k5.vrp
1038.0,189,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,190,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,191,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,192,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,193,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,194,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,195,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,196,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,197,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,198,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,199,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,200,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,201,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,202,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,203,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,204,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,205,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,206,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,207,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,208,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,209,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,210,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,211,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,212,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,213,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,214,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,215,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,216,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,217,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,218,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,219,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,220,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,221,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,222,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,223,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,224,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,225,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,226,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,227,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,228,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,229,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,230,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,231,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,232,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,233,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,234,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,235,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,236,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1038.0,237,1,A-n32-k5.vrp,1038.0,GA,data/vrp/A-n32-k5.vrp
1027.0,238,1,A-n32-k5.vrp,1027.0,GA,data/vrp/A-n32-k5.vrp
1027.0,239,1,A-n32-k5.vrp,1027.0,GA,data/vrp/A-n32-k5.vrp
1027.0,240,1,A-n32-k5.vrp,1027.0,GA,data/vrp/A-n32-k5.vrp
1027.0,241,1,A-n32-k5.vrp,1027.0,GA,data/vrp/A-n32-k5.vrp
1027.0,242,1,A-n32-k5.vrp,1027.0,GA,data/vrp/A-n32-k5.vrp
1022.0,243,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,244,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,245,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,246,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,247,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,248,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,249,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,250,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,251,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,252,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,253,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,254,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
